time_days,separation_u,magnification,flux,delta_magnitude
-0.0907667762,1.503793534,1.132473445,1.132473445,-0.1350700684
-0.08979600854,1.487813145,1.136141562,1.136141562,-0.1385811181
-0.08882524088,1.471833881,1.139932329,1.139932329,-0.1421976769
-0.08785447322,1.455855777,1.143850603,1.143850603,-0.1459232639
-0.08688370556,1.439878873,1.147901465,1.147901465,-0.1497615253
-0.0859129379,1.423903209,1.152090236,1.152090236,-0.1537162395
-0.08494217024,1.407928827,1.156422489,1.156422489,-0.1577913221
-0.08397140258,1.391955772,1.160904066,1.160904066,-0.1619908312
-0.08300063492,1.375984089,1.165541092,1.165541092,-0.1663189734
-0.08202986726,1.360013827,1.170339987,1.170339987,-0.1707801096
-0.0810590996,1.344045036,1.175307491,1.175307491,-0.1753787606
-0.08008833194,1.328077771,1.180450678,1.180450678,-0.1801196145
-0.07911756428,1.312112085,1.185776975,1.185776975,-0.1850075328
-0.07814679662,1.296148038,1.191294188,1.191294188,-0.1900475575
-0.07717602896,1.280185691,1.197010521,1.197010521,-0.1952449187
-0.0762052613,1.264225109,1.202934601,1.202934601,-0.2006050425
-0.07523449364,1.248266358,1.209075507,1.209075507,-0.2061335588
-0.07426372598,1.232309511,1.215442796,1.215442796,-0.2118363101
-0.07329295832,1.216354642,1.222046535,1.222046535,-0.2177193603
-0.07232219066,1.200401829,1.228897333,1.228897333,-0.2237890045
-0.071351423,1.184451157,1.236006377,1.236006377,-0.2300517786
-0.07038065534,1.168502713,1.24338547,1.24338547,-0.23651447
-0.06940988768,1.152556589,1.251047074,1.251047074,-0.2431841286
-0.06843912002,1.136612883,1.259004352,1.259004352,-0.2500680785
-0.06746835236,1.120671698,1.26727122,1.26727122,-0.2571739304
-0.0664975847,1.104733143,1.275862397,1.275862397,-0.2645095944
-0.06552681704,1.088797334,1.284793461,1.284793461,-0.2720832941
-0.06455604938,1.072864393,1.294080915,1.294080915,-0.2799035811
-0.06358528172,1.05693445,1.303742251,1.303742251,-0.2879793505
-0.06261451406,1.041007642,1.313796023,1.313796023,-0.2963198576
-0.0616437464,1.025084116,1.32426193,1.32426193,-0.3049347349
-0.06067297874,1.009164026,1.335160897,1.335160897,-0.3138340117
-0.05970221108,0.9932475392,1.346515178,1.346515178,-0.3230281329
-0.05873144342,0.9773348302,1.358348453,1.358348453,-0.3325279813
-0.05776067576,0.961426087,1.370685946,1.370685946,-0.3423448996
-0.0567899081,0.9455215097,1.383554547,1.383554547,-0.3524907149
-0.05581914044,0.9296213121,1.396982951,1.396982951,-0.3629777651
-0.05484837278,0.913725723,1.411001809,1.411001809,-0.3738189261
-0.05387760512,0.897834987,1.42564389,1.42564389,-0.3850276428
-0.05290683746,0.8819493665,1.44094427,1.44094427,-0.3966179608
-0.0519360698,0.8660691429,1.456940529,1.456940529,-0.4086045612
-0.05096530214,0.8501946188,1.473672976,1.473672976,-0.4210027989
-0.04999453448,0.8343261194,1.491184899,1.491184899,-0.4338287422
-0.04902376682,0.8184639951,1.509522835,1.509522835,-0.4470992178
-0.04805299916,0.802608624,1.528736881,1.528736881,-0.4608318576
-0.0470822315,0.7867604142,1.548881029,1.548881029,-0.4750451512
-0.04611146384,0.7709198076,1.570013549,1.570013549,-0.4897585011
-0.04514069618,0.7550872825,1.592197413,1.592197413,-0.5049922848
-0.04416992852,0.7392633582,1.615500766,1.615500766,-0.5207679206
-0.04319916086,0.7234485991,1.639997463,1.639997463,-0.5371079404
-0.0422283932,0.7076436197,1.665767665,1.665767665,-0.554036069
-0.04125762554,0.6918490902,1.692898516,1.692898516,-0.5715773105
-0.04028685788,0.676065743,1.721484898,1.721484898,-0.589758043
-0.03931609022,0.66029438,1.751630299,1.751630299,-0.608606122
-0.03834532256,0.644535881,1.783447781,1.783447781,-0.6281509943
-0.0373745549,0.6287912131,1.817061091,1.817061091,-0.6484238219
-0.03640378724,0.6130614419,1.85260592,1.85260592,-0.6694576187
-0.03543301958,0.5973477443,1.890231342,1.890231342,-0.6912873996
-0.03446225192,0.581651423,1.930101454,1.930101454,-0.7139503445
-0.03349148426,0.5659739236,1.972397262,1.972397262,-0.7374859773
-0.03252071661,0.5503168549,2.017318842,2.017318842,-0.7619363624
-0.03154994895,0.5346820115,2.06508783,2.06508783,-0.7873463181
-0.03057918129,0.519071402,2.115950287,2.115950287,-0.8137636501
-0.02960841363,0.5034872802,2.170180023,2.170180023,-0.8412394035
-0.02863764597,0.4879321844,2.228082429,2.228082429,-0.8698281345
-0.02766687831,0.4724089816,2.289998937,2.289998937,-0.899588202
-0.02669611065,0.4569209225,2.356312187,2.356312187,-0.9305820736
-0.02572534299,0.4414717059,2.427452041,2.427452041,-0.9628766459
-0.02475457533,0.4260655571,2.503902578,2.503902578,-0.9965435683
-0.02378380767,0.4107073227,2.58621022,2.58621022,-1.031659559
-0.02281304001,0.395402586,2.674993175,2.674993175,-1.068306696
-0.02184227235,0.3801578085,2.770952362,2.770952362,-1.106572649
-0.02087150469,0.3649805034,2.874883997,2.874883997,-1.146550813
-0.01990073703,0.3498794513,2.987693969,2.987693969,-1.188340276
-0.01892996937,0.3348649687,3.110414051,3.110414051,-1.232045513
-0.01795920171,0.3199492432,3.244219784,3.244219784,-1.277775671
-0.01698843405,0.305146757,3.390449557,3.390449557,-1.325643218
-0.01601766639,0.2904748226,3.550623739,3.550623739,-1.375761631
-0.01504689873,0.2759542644,3.726461659,3.726461659,-1.428241643
-0.01407613107,0.2616102896,3.919892342,3.919892342,-1.483185349
-0.01310536341,0.2474736054,4.133051811,4.133051811,-1.540677124
-0.01213459575,0.2335818514,4.368254596,4.368254596,-1.600769856
-0.01116382809,0.2199814341,4.627918864,4.627918864,-1.663464341
-0.01019306043,0.2067298614,4.914411682,4.914411682,-1.728678837
-0.009222292769,0.1938986694,5.229762065,5.229762065,-1.796204826
-0.008251525109,0.1815769989,5.575164335,5.575164335,-1.865644183
-0.007280757449,0.1698757583,5.950167983,5.950167983,-1.936323067
-0.006309989789,0.1589320425,6.351440799,6.351440799,-2.007180636
-0.005339222129,0.1489129584,6.771046172,6.771046172,-2.076639438
-0.004368454469,0.140017136,7.19438253,7.19438253,-2.142483814
-0.003397686809,0.13247106,7.598404706,7.598404706,-2.201806053
-0.00242691915,0.1265164782,7.951473528,7.951473528,-2.251119044
-0.00145615149,0.1223859099,8.216698532,8.216698532,-2.286743383
-0.0004853838299,0.1202674385,8.359835021,8.359835021,-2.305494267
0.0004853838299,0.1202674385,8.359835021,8.359835021,-2.305494267
0.00145615149,0.1223859099,8.216698532,8.216698532,-2.286743383
0.00242691915,0.1265164782,7.951473528,7.951473528,-2.251119044
0.003397686809,0.13247106,7.598404706,7.598404706,-2.201806053
0.004368454469,0.140017136,7.19438253,7.19438253,-2.142483814
0.005339222129,0.1489129584,6.771046172,6.771046172,-2.076639438
0.006309989789,0.1589320425,6.351440799,6.351440799,-2.007180636
0.007280757449,0.1698757583,5.950167983,5.950167983,-1.936323067
0.008251525109,0.1815769989,5.575164335,5.575164335,-1.865644183
0.009222292769,0.1938986694,5.229762065,5.229762065,-1.796204826
0.01019306043,0.2067298614,4.914411682,4.914411682,-1.728678837
0.01116382809,0.2199814341,4.627918864,4.627918864,-1.663464341
0.01213459575,0.2335818514,4.368254596,4.368254596,-1.600769856
0.01310536341,0.2474736054,4.133051811,4.133051811,-1.540677124
0.01407613107,0.2616102896,3.919892342,3.919892342,-1.483185349
0.01504689873,0.2759542644,3.726461659,3.726461659,-1.428241643
0.01601766639,0.2904748226,3.550623739,3.550623739,-1.375761631
0.01698843405,0.305146757,3.390449557,3.390449557,-1.325643218
0.01795920171,0.3199492432,3.244219784,3.244219784,-1.277775671
