time_days,separation_u,magnification,flux,delta_magnitude
-0.0950782085,1.574779299,1.117548458,1.117548458,-0.120665909
-0.09369020545,1.551924294,1.122122102,1.122122102,-0.1251002914
-0.09230220241,1.529071314,1.126910901,1.126910901,-0.1297239504
-0.09091419937,1.506220451,1.13192683,1.13192683,-0.1345458851
-0.08952619632,1.483371803,1.137182645,1.137182645,-0.1395755582
-0.08813819328,1.460525473,1.142691953,1.142691953,-0.1448229222
-0.08675019023,1.437681573,1.148469269,1.148469269,-0.1502984468
-0.08536218719,1.414840219,1.154530097,1.154530097,-0.1560131474
-0.08397418415,1.392001538,1.160891006,1.160891006,-0.1619786165
-0.0825861811,1.369165663,1.167569717,1.167569717,-0.168207056
-0.08119817806,1.346332736,1.174585202,1.174585202,-0.1747113125
-0.07981017502,1.323502912,1.181957786,1.181957786,-0.1815049143
-0.07842217197,1.300676351,1.189709267,1.189709267,-0.1886021112
-0.07703416893,1.277853231,1.197863045,1.197863045,-0.1960179169
-0.07564616588,1.255033737,1.206444261,1.206444261,-0.2037681543
-0.07425816284,1.232218073,1.215479957,1.215479957,-0.2118695043
-0.0728701598,1.209406454,1.224999251,1.224999251,-0.2203395577
-0.07148215675,1.186599114,1.23503353,1.23503353,-0.2291968714
-0.07009415371,1.163796305,1.245616669,1.245616669,-0.2384610283
-0.06870615067,1.140998297,1.256785267,1.256785267,-0.2481527026
-0.06731814762,1.118205386,1.268578925,1.268578925,-0.25829373
-0.06593014458,1.095417888,1.281040539,1.281040539,-0.2689071831
-0.06454214153,1.072636149,1.294216647,1.294216647,-0.2800174543
-0.06315413849,1.049860544,1.308157809,1.308157809,-0.2916503448
-0.06176613545,1.02709148,1.322919034,1.322919034,-0.3038331624
-0.0603781324,1.004329404,1.338560272,1.338560272,-0.3165948279
-0.05899012936,0.9815748,1.355146964,1.355146964,-0.3299659913
-0.05760212632,0.9588282011,1.372750669,1.372750669,-0.3439791603
-0.05621412327,0.9360901907,1.391449779,1.391449779,-0.3586688404
-0.05482612023,0.9133614101,1.411330335,1.411330335,-0.3740716909
-0.05343811718,0.8906425659,1.432486964,1.432486964,-0.3902266963
-0.05205011414,0.8679344385,1.455023953,1.455023953,-0.4071753574
-0.0506621111,0.8452378916,1.47905649,1.47905649,-0.4249619037
-0.04927410805,0.8225538837,1.504712096,1.504712096,-0.4436335301
-0.04788610501,0.7998834818,1.532132288,1.532132288,-0.4632406625
-0.04649810197,0.7772278763,1.561474521,1.561474521,-0.4838372551
-0.04511009892,0.7545884001,1.592914444,1.592914444,-0.5054811258
-0.04372209588,0.7319665496,1.626648562,1.626648562,-0.5282343337
-0.04233409283,0.7093640113,1.662897356,1.662897356,-0.5521636071
-0.04094608979,0.6867826918,1.701908984,1.701908984,-0.5773408274
-0.03955808675,0.6642247553,1.743963664,1.743963664,-0.60384358
-0.0381700837,0.6416926677,1.789378901,1.789378901,-0.6317557805
-0.03678208066,0.6191892509,1.838515752,1.838515752,-0.6611683878
-0.03539407762,0.5967177487,1.891786349,1.891786349,-0.6921802183
-0.03400607457,0.5742819076,1.949662996,1.949662996,-0.7248988725
-0.03261807153,0.5518860766,2.012689202,2.012689202,-0.7594417916
-0.03123006848,0.5295353324,2.081493136,2.081493136,-0.7959374575
-0.02984206544,0.507235635,2.156804095,2.156804095,-0.8345267486
-0.0284540624,0.4849940258,2.239472762,2.239472762,-0.8753644615
